,address_geocoded,displayLongitude,displayLatitude,address
117,"проспект Нургисы Тлендиева 15, 010000 Нұр-Сұлтан, Қазақстан",71.3768,51.17969,"пр. Тлендиева, д. 15"
118,"проспект Нургисы Тлендиева 15/1, 010000 Нұр-Сұлтан, Қазақстан",71.37482,51.1792,"пр. Тлендиева, д. 15/1"
119,"проспект Нургисы Тлендиева 42, 010006 Нұр-Сұлтан, Қазақстан",71.33292,51.19257,"пр. Тлендиева, д. 46"
120,"проспект Туран 14, 010000 Нұр-Сұлтан, Қазақстан",71.41266,51.14284,"пр. Туран, д. 14"
121,"проспект Туран 19, 010000 Нұр-Сұлтан, Қазақстан",71.4101,51.14465,"пр. Туран, д. 19"
122,"проспект Туран 32, 010000 Нұр-Сұлтан, Қазақстан",71.40658,51.12471,"пр. Туран, д. 32"
123,"проспект Туран 34/1, 010000 Нұр-Сұлтан, Қазақстан",71.40838,51.12172,"пр. Туран, д. 34/1"
124,"проспект Туран 37, 010000 Нұр-Сұлтан, Қазақстан",71.40387,51.13254,"пр. Туран, д. 37"
125,"проспект Туран 38, 010000 Нұр-Сұлтан, Қазақстан",71.40345,51.11867,"пр. Туран, д. 38"
126,"проспект Улы Дала 19, 010000 Нұр-Сұлтан, Қазақстан",71.43372,51.09517,"пр. Улы Дала, д. 19"
127,"проспект Улы Дала 29, 010018 Нұр-Сұлтан, Қазақстан",71.44645,51.09331,"пр. Улы Дала, д. 29"
128,"проспект Улы Дала 7, 010000 Нұр-Сұлтан, Қазақстан",71.41564,51.09775,"пр. Улы Дала, д. 7/4"
129,"проспект Шакарим Кудайбердиулы 32, 010009 Нұр-Сұлтан, Қазақстан",71.49516,51.15717,"пр. Шакарима Кудайбердиулы, д. 32"
130,"улица Желтоксан 1, 010000 Нұр-Сұлтан, Қазақстан",71.41725,51.16073,"с. Жибек Жолы, ул. Желтоксан, д. 1"
131,"улица Сарыарка 24A, Нұр-Сұлтан, Қазақстан",71.2233508,51.129589,"с. Жибек Жолы, ул. Сары Арка, д. 24А"
132,"улица 187 14/2, 010000 Нұр-Сұлтан, Қазақстан",71.38938,51.17247,"ул. 187, д. 14/2"
133,"улица 187 20, 010000 Нұр-Сұлтан, Қазақстан",71.38254,51.17448,"ул. 187, д. 20"
134,"улица 189 5, 010000 Нұр-Сұлтан, Қазақстан",71.37205,51.17012,"ул. 189, д. 5"
135,"38-ая улица 27, 010018 Нұр-Сұлтан, Қазақстан",71.44752,51.08851,"ул. 38, д. 27"
136,"38-ая улица 8, 010000 Нұр-Сұлтан, Қазақстан",71.45381,51.09998,"ул. 38, д. 8"
137,"улица 34 25, 010007 Нұр-Сұлтан, Қазақстан",71.403548,51.2090192,"ул. А-34, д. 21"
138,"улица Айнаколь 41, 010010 Нұр-Сұлтан, Қазақстан",71.51353,51.13682,"ул. Айнакол, д. 41"
139,"улица Айнаколь 60, 010010 Нұр-Сұлтан, Қазақстан",71.49791,51.13168,"ул. Айнакол, д. 60"
140,"улица Чингиза Айтматова 29A, 010000 Нұр-Сұлтан, Қазақстан",71.35913,51.13024,"ул. Айтматова, д. 29 А"
141,"улица Чингиза Айтматова 42, 010000 Нұр-Сұлтан, Қазақстан",71.36852,51.1464,"ул. Айтматова, д. 36"
142,"улица Акжол 27, 010000 Нұр-Сұлтан, Қазақстан",71.45264,51.18344,"ул. Акжол, д. 27"
143,"улица Акжол 27/2, 010000 Нұр-Сұлтан, Қазақстан",71.45193,51.18324,"ул. Акжол, д. 27/2"
144,"улица Акмешит 11, 010000 Нұр-Сұлтан, Қазақстан",71.42102,51.11289,"ул. Акмешит, д. 11"
145,"улица Акмешит 5, 010000 Нұр-Сұлтан, Қазақстан",71.42368,51.11742,"ул. Акмешит, д. 5"
146,"улица Акмола 54, 010006 Нұр-Сұлтан, Қазақстан",71.32826,51.19612,"ул. Акмола, д. 54"
147,"улица Алматы 11, 010000 Нұр-Сұлтан, Қазақстан",71.42082,51.11523,"ул. Алматы, д. 11"
148,"улица Касыма Аманжолова 24, 010010 Нұр-Сұлтан, Қазақстан",71.47347,51.1176,"ул. Аманжолова, д. 24"
149,"улица Касыма Аманжолова 28/2, 010010 Нұр-Сұлтан, Қазақстан",71.47599,51.12285,"ул. Аманжолова, д. 28/2"
150,"улица Армандастар 2/3, 010019 Нұр-Сұлтан, Қазақстан",71.58969,51.12916,"ул. Армандастар, д. 2/3"
151,"улица Асан Кайгы 8, 010000 Нұр-Сұлтан, Қазақстан",71.44622,51.16236,"ул. Асан кайгы, д. 8"
152,"улица Мухтара Ауэзова 22, 010000 Нұр-Сұлтан, Қазақстан",71.42379,51.17221,"ул. Ауэзова, д. 22"
153,"улица Мухтара Ауэзова 35, 010000 Нұр-Сұлтан, Қазақстан",71.42075,51.17864,"ул. Ауэзова, д. 35"
154,"улица Мухтара Ауэзова 57/2, 010000 Нұр-Сұлтан, Қазақстан",71.4189,51.18546,"ул. Ауэзова, д. 57/2"
155,"улица Куляш Байсеитовой 101, 010003 Нұр-Сұлтан, Қазақстан",71.38071,51.18396,"ул. Байсейитовой, д. 101"
156,"улица Куляш Байсеитовой 8, 010003 Нұр-Сұлтан, Қазақстан",71.38959,51.19501,"ул. Байсейитовой, д. 8"
157,"улица Ахмета Байтурсынова 12, 010010 Нұр-Сұлтан, Қазақстан",71.47905,51.12367,"ул. Байтурсынова, д. 12"
158,"улица Ахмета Байтурсынова 5, 010010 Нұр-Сұлтан, Қазақстан",71.46227,51.12719,"ул. Байтурсынова, д. 5"
159,"улица Балкантау 65, 010010 Нұр-Сұлтан, Қазақстан",71.49981,51.136,"ул. Балкантау, д. 65"
160,"улица Балкантау 95A, 010010 Нұр-Сұлтан, Қазақстан",71.49304,51.13403,"ул. Балкантау, д. 95а"
161,"улица Александра Бараева 21, 010000 Нұр-Сұлтан, Қазақстан",71.4376,51.15935,ул. Бараева д. 21
162,"улица Бейбитшилик 25, 010000 Нұр-Сұлтан, Қазақстан",71.41823,51.17208,"ул. Бейбитшилик, д. 25"
163,"улица Бейбитшилик 31, 010000 Нұр-Сұлтан, Қазақстан",71.41828,51.17459,"ул. Бейбитшилик, д. 31"
164,"улица Бейбитшилик 32, 010000 Нұр-Сұлтан, Қазақстан",71.41888,51.17722,"ул. Бейбитшилик, д. 32"
165,"улица Бейбитшилик 36, 010000 Нұр-Сұлтан, Қазақстан",71.41856,51.17839,"ул. Бейбитшилик, д. 36"
166,"улица Бейбитшилик 71, 010000 Нұр-Сұлтан, Қазақстан",71.41556,51.18566,"ул. Бейбитшилик, д. 71"
167,"улица Бейбитшилик 9, 010000 Нұр-Сұлтан, Қазақстан",71.42001,51.16523,"ул. Бейбитшилик, д. 9"
168,"улица Талгата Бегельдинова 9, 010000 Нұр-Сұлтан, Қазақстан",71.41208,51.16524,"ул. Бигельдинова, д. 9"
169,"улица Биржан Сала 7A, 010011 Нұр-Сұлтан, Қазақстан",71.40702,51.19418,"ул. Биржан Сала, д. 7а"
170,"улица Алихана Бокейханова 11, 010018 Нұр-Сұлтан, Қазақстан",71.4386354,51.112916,"ул. Бокейханова, д. 11"
171,"улица Алихана Бокейханова 2, 010000 Нұр-Сұлтан, Қазақстан",71.42643,51.15899,"ул. Бокейханова, д. 2"
